"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"21.04.2019 04:45 - 21.04.2019 05:00","7417","7056"
"21.04.2019 05:00 - 21.04.2019 05:15","7637","7078"
"21.04.2019 05:15 - 21.04.2019 05:30","7665","7208"
"21.04.2019 05:30 - 21.04.2019 05:45","7693","7371"
"21.04.2019 05:45 - 21.04.2019 06:00","7749","7369"
"21.04.2019 06:00 - 21.04.2019 06:15","7955","7385"
"21.04.2019 06:15 - 21.04.2019 06:30","7940","7327"
"21.04.2019 06:30 - 21.04.2019 06:45","7975","7308"
"21.04.2019 06:45 - 21.04.2019 07:00","7990","7407"
"21.04.2019 07:00 - 21.04.2019 07:15","8042","7527"
"21.04.2019 07:15 - 21.04.2019 07:30","8063","7689"
"21.04.2019 07:30 - 21.04.2019 07:45","8106","7647"
"21.04.2019 07:45 - 21.04.2019 08:00","8148","7701"
"21.04.2019 08:00 - 21.04.2019 08:15","7975","7928"
"21.04.2019 08:15 - 21.04.2019 08:30","8111","8026"
"21.04.2019 08:30 - 21.04.2019 08:45","8178","8089"
"21.04.2019 08:45 - 21.04.2019 09:00","8332","8294"
"21.04.2019 09:00 - 21.04.2019 09:15","8301","8331"
"21.04.2019 09:15 - 21.04.2019 09:30","8364","8561"
"21.04.2019 09:30 - 21.04.2019 09:45","8406","8463"
"21.04.2019 09:45 - 21.04.2019 10:00","8485","8564"
"21.04.2019 10:00 - 21.04.2019 10:15","8589","8594"
"21.04.2019 10:15 - 21.04.2019 10:30","8627","8587"
"21.04.2019 10:30 - 21.04.2019 10:45","8654","8606"
"21.04.2019 10:45 - 21.04.2019 11:00","8692","8551"
"21.04.2019 11:00 - 21.04.2019 11:15","8764","8578"
"21.04.2019 11:15 - 21.04.2019 11:30","8705","8487"
"21.04.2019 11:30 - 21.04.2019 11:45","8766","8478"
"21.04.2019 11:45 - 21.04.2019 12:00","8766","8429"
"21.04.2019 12:00 - 21.04.2019 12:15","8820","8418"
"21.04.2019 12:15 - 21.04.2019 12:30","8767","8381"
"21.04.2019 12:30 - 21.04.2019 12:45","8738","8288"
"21.04.2019 12:45 - 21.04.2019 13:00","8693","8252"
"21.04.2019 13:00 - 21.04.2019 13:15","8657","8149"
"21.04.2019 13:15 - 21.04.2019 13:30","8520","8069"
"21.04.2019 13:30 - 21.04.2019 13:45","8424","8048"
"21.04.2019 13:45 - 21.04.2019 14:00","8365","8038"
"21.04.2019 14:00 - 21.04.2019 14:15","8278","7900"
"21.04.2019 14:15 - 21.04.2019 14:30","8261","7859"
"21.04.2019 14:30 - 21.04.2019 14:45","8237","7837"
"21.04.2019 14:45 - 21.04.2019 15:00","8120","7778"
"21.04.2019 15:00 - 21.04.2019 15:15","8341","7871"
"21.04.2019 15:15 - 21.04.2019 15:30","8267","7890"
"21.04.2019 15:30 - 21.04.2019 15:45","8229","7797"
"21.04.2019 15:45 - 21.04.2019 16:00","8165","7789"
"21.04.2019 16:00 - 21.04.2019 16:15","8441","7715"
"21.04.2019 16:15 - 21.04.2019 16:30","8432","7723"
"21.04.2019 16:30 - 21.04.2019 16:45","8468","7781"
"21.04.2019 16:45 - 21.04.2019 17:00","8432","7862"
"21.04.2019 17:00 - 21.04.2019 17:15","8398","7924"
"21.04.2019 17:15 - 21.04.2019 17:30","8492","8003"
"21.04.2019 17:30 - 21.04.2019 17:45","8598","7977"
"21.04.2019 17:45 - 21.04.2019 18:00","8628","8138"
"21.04.2019 18:00 - 21.04.2019 18:15","8559","8231"
"21.04.2019 18:15 - 21.04.2019 18:30","8669","8311"
"21.04.2019 18:30 - 21.04.2019 18:45","8732","8288"
"21.04.2019 18:45 - 21.04.2019 19:00","8813","8361"
"21.04.2019 19:00 - 21.04.2019 19:15","8753","8412"
"21.04.2019 19:15 - 21.04.2019 19:30","8819","8512"
"21.04.2019 19:30 - 21.04.2019 19:45","8896","8467"
"21.04.2019 19:45 - 21.04.2019 20:00","8907","8548"
"21.04.2019 20:00 - 21.04.2019 20:15","8906","8592"
"21.04.2019 20:15 - 21.04.2019 20:30","8833","8529"
"21.04.2019 20:30 - 21.04.2019 20:45","8894","8505"
"21.04.2019 20:45 - 21.04.2019 21:00","8941","8578"
"21.04.2019 21:00 - 21.04.2019 21:15","9036","8634"
"21.04.2019 21:15 - 21.04.2019 21:30","9002","8701"
"21.04.2019 21:30 - 21.04.2019 21:45","8903","8681"
"21.04.2019 21:45 - 21.04.2019 22:00","8849","8616"
"21.04.2019 22:00 - 21.04.2019 22:15","8947","8537"
"21.04.2019 22:15 - 21.04.2019 22:30","8926","8461"
"21.04.2019 22:30 - 21.04.2019 22:45","8920","8400"
"21.04.2019 22:45 - 21.04.2019 23:00","8844","8194"
"21.04.2019 23:00 - 21.04.2019 23:15","8830","8130"
"21.04.2019 23:15 - 21.04.2019 23:30","8658","7978"
"21.04.2019 23:30 - 21.04.2019 23:45","8578","7901"
"21.04.2019 23:45 - 22.04.2019 00:00","8404","7725"
"22.04.2019 00:00 - 22.04.2019 00:15","8172","7599"
"22.04.2019 00:15 - 22.04.2019 00:30","8057","7581"
"22.04.2019 00:30 - 22.04.2019 00:45","7979","7566"
"22.04.2019 00:45 - 22.04.2019 01:00","7851","7404"
"22.04.2019 01:00 - 22.04.2019 01:15","7781","7490"
"22.04.2019 01:15 - 22.04.2019 01:30","7657","7355"
"22.04.2019 01:30 - 22.04.2019 01:45","7513","7205"
"22.04.2019 01:45 - 22.04.2019 02:00","7467","7169"
"22.04.2019 02:00 - 22.04.2019 02:15","7504","7234"
"22.04.2019 02:15 - 22.04.2019 02:30","7465","7173"
"22.04.2019 02:30 - 22.04.2019 02:45","7367","7079"
"22.04.2019 02:45 - 22.04.2019 03:00","7325","7101"
"22.04.2019 03:00 - 22.04.2019 03:15","7298","7000"
"22.04.2019 03:15 - 22.04.2019 03:30","7309","6971"
"22.04.2019 03:30 - 22.04.2019 03:45","7289","6987"
"22.04.2019 03:45 - 22.04.2019 04:00","7259","6927"
"22.04.2019 04:00 - 22.04.2019 04:15","7252","6957"
"22.04.2019 04:15 - 22.04.2019 04:30","7246","6941"
"22.04.2019 04:30 - 22.04.2019 04:45","7263","6995"
"22.04.2019 04:45 - 22.04.2019 05:00","7276","7037"
"22.04.2019 05:00 - 22.04.2019 05:15","7297","7046"
"22.04.2019 05:15 - 22.04.2019 05:30","7311","6972"
"22.04.2019 05:30 - 22.04.2019 05:45","7346","6995"
"22.04.2019 05:45 - 22.04.2019 06:00","7339","7124"
"22.04.2019 06:00 - 22.04.2019 06:15","7319","7335"
"22.04.2019 06:15 - 22.04.2019 06:30","7292","7264"
"22.04.2019 06:30 - 22.04.2019 06:45","7303","7297"
"22.04.2019 06:45 - 22.04.2019 07:00","7303","7331"
"22.04.2019 07:00 - 22.04.2019 07:15","7298","7346"
"22.04.2019 07:15 - 22.04.2019 07:30","7302","7331"
"22.04.2019 07:30 - 22.04.2019 07:45","7334","7416"
"22.04.2019 07:45 - 22.04.2019 08:00","7497","7441"
"22.04.2019 08:00 - 22.04.2019 08:15","7692","7557"
"22.04.2019 08:15 - 22.04.2019 08:30","7896","7716"
"22.04.2019 08:30 - 22.04.2019 08:45","8012","7792"
"22.04.2019 08:45 - 22.04.2019 09:00","8160","7858"
"22.04.2019 09:00 - 22.04.2019 09:15","8308","8133"
"22.04.2019 09:15 - 22.04.2019 09:30","8420","8263"
"22.04.2019 09:30 - 22.04.2019 09:45","8482","8334"
"22.04.2019 09:45 - 22.04.2019 10:00","8547","8303"
"22.04.2019 10:00 - 22.04.2019 10:15","8612","8377"
"22.04.2019 10:15 - 22.04.2019 10:30","8659","8442"
"22.04.2019 10:30 - 22.04.2019 10:45","8693","8463"
"22.04.2019 10:45 - 22.04.2019 11:00","8756","8482"
"22.04.2019 11:00 - 22.04.2019 11:15","8789","8446"
"22.04.2019 11:15 - 22.04.2019 11:30","8831","8477"
"22.04.2019 11:30 - 22.04.2019 11:45","8832","8657"
"22.04.2019 11:45 - 22.04.2019 12:00","8872","8647"
"22.04.2019 12:00 - 22.04.2019 12:15","8873","8579"
"22.04.2019 12:15 - 22.04.2019 12:30","8865","8450"
"22.04.2019 12:30 - 22.04.2019 12:45","8822","8349"
"22.04.2019 12:45 - 22.04.2019 13:00","8807","8292"
"22.04.2019 13:00 - 22.04.2019 13:15","8756","8175"
"22.04.2019 13:15 - 22.04.2019 13:30","8687","8133"
"22.04.2019 13:30 - 22.04.2019 13:45","8588","7991"
"22.04.2019 13:45 - 22.04.2019 14:00","8495","7804"
"22.04.2019 14:00 - 22.04.2019 14:15","8429","7830"
"22.04.2019 14:15 - 22.04.2019 14:30","8374","7919"
"22.04.2019 14:30 - 22.04.2019 14:45","8321","7781"
"22.04.2019 14:45 - 22.04.2019 15:00","8290","7739"
"22.04.2019 15:00 - 22.04.2019 15:15","8243","7667"
"22.04.2019 15:15 - 22.04.2019 15:30","8222","7662"
"22.04.2019 15:30 - 22.04.2019 15:45","8164","7594"
"22.04.2019 15:45 - 22.04.2019 16:00","8148","7670"
"22.04.2019 16:00 - 22.04.2019 16:15","8142","7651"
"22.04.2019 16:15 - 22.04.2019 16:30","8169","7726"
"22.04.2019 16:30 - 22.04.2019 16:45","8166","7716"
"22.04.2019 16:45 - 22.04.2019 17:00","8176","7761"
"22.04.2019 17:00 - 22.04.2019 17:15","8205","7977"
"22.04.2019 17:15 - 22.04.2019 17:30","8280","8047"
"22.04.2019 17:30 - 22.04.2019 17:45","8355","8185"
"22.04.2019 17:45 - 22.04.2019 18:00","8422","8272"
"22.04.2019 18:00 - 22.04.2019 18:15","8490","8279"
"22.04.2019 18:15 - 22.04.2019 18:30","8569","8378"
"22.04.2019 18:30 - 22.04.2019 18:45","8653","8463"
"22.04.2019 18:45 - 22.04.2019 19:00","8661","8500"
"22.04.2019 19:00 - 22.04.2019 19:15","8670","8511"
"22.04.2019 19:15 - 22.04.2019 19:30","8677","8487"
"22.04.2019 19:30 - 22.04.2019 19:45","8727","8486"
"22.04.2019 19:45 - 22.04.2019 20:00","8742","8524"
"22.04.2019 20:00 - 22.04.2019 20:15","8707","8561"
"22.04.2019 20:15 - 22.04.2019 20:30","8688","8623"
"22.04.2019 20:30 - 22.04.2019 20:45","8700","8603"
"22.04.2019 20:45 - 22.04.2019 21:00","8817","8767"
"22.04.2019 21:00 - 22.04.2019 21:15","8904","8760"
"22.04.2019 21:15 - 22.04.2019 21:30","8941","8775"
"22.04.2019 21:30 - 22.04.2019 21:45","8879","8681"
"22.04.2019 21:45 - 22.04.2019 22:00","8824","8550"
"22.04.2019 22:00 - 22.04.2019 22:15","8795","8522"
"22.04.2019 22:15 - 22.04.2019 22:30","8782","8416"
"22.04.2019 22:30 - 22.04.2019 22:45","8749","8318"
"22.04.2019 22:45 - 22.04.2019 23:00","8714","8234"
"22.04.2019 23:00 - 22.04.2019 23:15","8625","8061"
"22.04.2019 23:15 - 22.04.2019 23:30","8535","7963"
"22.04.2019 23:30 - 22.04.2019 23:45","8395","7845"
"22.04.2019 23:45 - 23.04.2019 00:00","8272","7803"
"23.04.2019 00:00 - 23.04.2019 00:15","8147","7584"
"23.04.2019 00:15 - 23.04.2019 00:30","8044","7522"
"23.04.2019 00:30 - 23.04.2019 00:45","7942","7465"
"23.04.2019 00:45 - 23.04.2019 01:00","7867","7299"
"23.04.2019 01:00 - 23.04.2019 01:15","7771","7366"
"23.04.2019 01:15 - 23.04.2019 01:30","7672","7181"
"23.04.2019 01:30 - 23.04.2019 01:45","7564","7096"
"23.04.2019 01:45 - 23.04.2019 02:00","7499","7039"
"23.04.2019 02:00 - 23.04.2019 02:15","7742","6937"
"23.04.2019 02:15 - 23.04.2019 02:30","7665","7020"
"23.04.2019 02:30 - 23.04.2019 02:45","7619","6972"
"23.04.2019 02:45 - 23.04.2019 03:00","7589","6958"
"23.04.2019 03:00 - 23.04.2019 03:15","7638","7010"
"23.04.2019 03:15 - 23.04.2019 03:30","7601","6918"
"23.04.2019 03:30 - 23.04.2019 03:45","7580","6953"
"23.04.2019 03:45 - 23.04.2019 04:00","7621","6956"
"23.04.2019 04:00 - 23.04.2019 04:15","7753","6943"
"23.04.2019 04:15 - 23.04.2019 04:30","7758","6948"
"23.04.2019 04:30 - 23.04.2019 04:45","7805","7050"
"23.04.2019 04:45 - 23.04.2019 05:00","7893","7097"
"23.04.2019 05:00 - 23.04.2019 05:15","8319","7415"
"23.04.2019 05:15 - 23.04.2019 05:30","8394","7578"
"23.04.2019 05:30 - 23.04.2019 05:45","8508","7817"
"23.04.2019 05:45 - 23.04.2019 06:00","8698","7959"
"23.04.2019 06:00 - 23.04.2019 06:15","9374","8390"
"23.04.2019 06:15 - 23.04.2019 06:30","9585","8547"
"23.04.2019 06:30 - 23.04.2019 06:45","9770","8678"
"23.04.2019 06:45 - 23.04.2019 07:00","9926","8966"
"23.04.2019 07:00 - 23.04.2019 07:15","10310","9439"
"23.04.2019 07:15 - 23.04.2019 07:30","10446","9641"
"23.04.2019 07:30 - 23.04.2019 07:45","10626","9762"
"23.04.2019 07:45 - 23.04.2019 08:00","10744","9913"
"23.04.2019 08:00 - 23.04.2019 08:15","10726","10007"
"23.04.2019 08:15 - 23.04.2019 08:30","10840","10137"
"23.04.2019 08:30 - 23.04.2019 08:45","10937","10274"
"23.04.2019 08:45 - 23.04.2019 09:00","11029","10340"
"23.04.2019 09:00 - 23.04.2019 09:15","10934","10399"
"23.04.2019 09:15 - 23.04.2019 09:30","10960","10464"
"23.04.2019 09:30 - 23.04.2019 09:45","11011","10516"
"23.04.2019 09:45 - 23.04.2019 10:00","11000","10555"
"23.04.2019 10:00 - 23.04.2019 10:15","10892","10444"
"23.04.2019 10:15 - 23.04.2019 10:30","10860","10394"
"23.04.2019 10:30 - 23.04.2019 10:45","10850","10462"
"23.04.2019 10:45 - 23.04.2019 11:00","10848","10477"
"23.04.2019 11:00 - 23.04.2019 11:15","10838","10478"
"23.04.2019 11:15 - 23.04.2019 11:30","10834","10401"
"23.04.2019 11:30 - 23.04.2019 11:45","10879","10454"
"23.04.2019 11:45 - 23.04.2019 12:00","10880","10476"
"23.04.2019 12:00 - 23.04.2019 12:15","10656","10314"
"23.04.2019 12:15 - 23.04.2019 12:30","10529","10197"
"23.04.2019 12:30 - 23.04.2019 12:45","10479","10118"
"23.04.2019 12:45 - 23.04.2019 13:00","10447","10241"
"23.04.2019 13:00 - 23.04.2019 13:15","10386","10298"
"23.04.2019 13:15 - 23.04.2019 13:30","10343","10192"
"23.04.2019 13:30 - 23.04.2019 13:45","10291","10195"
"23.04.2019 13:45 - 23.04.2019 14:00","10207","10155"
"23.04.2019 14:00 - 23.04.2019 14:15","10209","10121"
"23.04.2019 14:15 - 23.04.2019 14:30","10221","10048"
"23.04.2019 14:30 - 23.04.2019 14:45","10220","9979"
"23.04.2019 14:45 - 23.04.2019 15:00","10192","9857"
"23.04.2019 15:00 - 23.04.2019 15:15","10279","9941"
"23.04.2019 15:15 - 23.04.2019 15:30","10247","9960"
"23.04.2019 15:30 - 23.04.2019 15:45","10207","9984"
"23.04.2019 15:45 - 23.04.2019 16:00","10151","9965"
"23.04.2019 16:00 - 23.04.2019 16:15","10241","9948"
"23.04.2019 16:15 - 23.04.2019 16:30","10211","9877"
"23.04.2019 16:30 - 23.04.2019 16:45","10216","9945"
"23.04.2019 16:45 - 23.04.2019 17:00","10244","9931"
"23.04.2019 17:00 - 23.04.2019 17:15","10374","9992"
"23.04.2019 17:15 - 23.04.2019 17:30","10392","10013"
"23.04.2019 17:30 - 23.04.2019 17:45","10461","10152"
"23.04.2019 17:45 - 23.04.2019 18:00","10515","10270"
"23.04.2019 18:00 - 23.04.2019 18:15","10544","10290"
"23.04.2019 18:15 - 23.04.2019 18:30","10513","10292"
"23.04.2019 18:30 - 23.04.2019 18:45","10528","10355"
"23.04.2019 18:45 - 23.04.2019 19:00","10517","10354"
"23.04.2019 19:00 - 23.04.2019 19:15","10399","10336"
"23.04.2019 19:15 - 23.04.2019 19:30","10351","10172"
"23.04.2019 19:30 - 23.04.2019 19:45","10312","10140"
"23.04.2019 19:45 - 23.04.2019 20:00","10298","10193"
"23.04.2019 20:00 - 23.04.2019 20:15","10176","10023"
"23.04.2019 20:15 - 23.04.2019 20:30","10150","9879"
"23.04.2019 20:30 - 23.04.2019 20:45","10218","9846"
"23.04.2019 20:45 - 23.04.2019 21:00","10245","9862"
"23.04.2019 21:00 - 23.04.2019 21:15","10304","9968"
"23.04.2019 21:15 - 23.04.2019 21:30","10234","9941"
"23.04.2019 21:30 - 23.04.2019 21:45","10127","9788"
"23.04.2019 21:45 - 23.04.2019 22:00","9967","9640"
"23.04.2019 22:00 - 23.04.2019 22:15","10058","9624"
"23.04.2019 22:15 - 23.04.2019 22:30","10132","9582"
"23.04.2019 22:30 - 23.04.2019 22:45","10088","9520"
"23.04.2019 22:45 - 23.04.2019 23:00","9960","9373"
"23.04.2019 23:00 - 23.04.2019 23:15","9982","9257"
"23.04.2019 23:15 - 23.04.2019 23:30","9874","9117"
"23.04.2019 23:30 - 23.04.2019 23:45","9727","8960"
"23.04.2019 23:45 - 24.04.2019 00:00","9563","8833"
"24.04.2019 00:00 - 24.04.2019 00:15","9166","8632"
"24.04.2019 00:15 - 24.04.2019 00:30","8998","8507"
"24.04.2019 00:30 - 24.04.2019 00:45","8886","8301"
"24.04.2019 00:45 - 24.04.2019 01:00","8733","8128"
"24.04.2019 01:00 - 24.04.2019 01:15","8620","8049"
"24.04.2019 01:15 - 24.04.2019 01:30","8489","8014"
"24.04.2019 01:30 - 24.04.2019 01:45","8384","7837"
"24.04.2019 01:45 - 24.04.2019 02:00","8290","7761"
"24.04.2019 02:00 - 24.04.2019 02:15","8237","7771"
"24.04.2019 02:15 - 24.04.2019 02:30","8155","7745"
"24.04.2019 02:30 - 24.04.2019 02:45","8106","7658"
"24.04.2019 02:45 - 24.04.2019 03:00","8075","7591"
"24.04.2019 03:00 - 24.04.2019 03:15","8083","7472"
"24.04.2019 03:15 - 24.04.2019 03:30","8044","7488"
"24.04.2019 03:30 - 24.04.2019 03:45","8021","7595"
"24.04.2019 03:45 - 24.04.2019 04:00","8065","7628"
"24.04.2019 04:00 - 24.04.2019 04:15","8129","7520"
"24.04.2019 04:15 - 24.04.2019 04:30","8134","7529"
"24.04.2019 04:30 - 24.04.2019 04:45","8184","7531"
"24.04.2019 04:45 - 24.04.2019 05:00","8275","7648"
"24.04.2019 05:00 - 24.04.2019 05:15","8492","7794"
"24.04.2019 05:15 - 24.04.2019 05:30","8569","7936"
"24.04.2019 05:30 - 24.04.2019 05:45","8685","8040"
"24.04.2019 05:45 - 24.04.2019 06:00","8879","8276"
"24.04.2019 06:00 - 24.04.2019 06:15","9265","8560"
"24.04.2019 06:15 - 24.04.2019 06:30","9473","8600"
"24.04.2019 06:30 - 24.04.2019 06:45","9656","8762"
"24.04.2019 06:45 - 24.04.2019 07:00","9810","8957"
"24.04.2019 07:00 - 24.04.2019 07:15","10088","9261"
"24.04.2019 07:15 - 24.04.2019 07:30","10221","9448"
"24.04.2019 07:30 - 24.04.2019 07:45","10398","9520"
"24.04.2019 07:45 - 24.04.2019 08:00","10513","9770"
"24.04.2019 08:00 - 24.04.2019 08:15","10537","9935"
"24.04.2019 08:15 - 24.04.2019 08:30","10649","9785"
"24.04.2019 08:30 - 24.04.2019 08:45","10744","9927"
"24.04.2019 08:45 - 24.04.2019 09:00","10834","10002"
"24.04.2019 09:00 - 24.04.2019 09:15","10858","9972"
"24.04.2019 09:15 - 24.04.2019 09:30","10884","9996"
"24.04.2019 09:30 - 24.04.2019 09:45","10934","9950"
"24.04.2019 09:45 - 24.04.2019 10:00","10924","9939"
"24.04.2019 10:00 - 24.04.2019 10:15","10857","9771"
"24.04.2019 10:15 - 24.04.2019 10:30","10824","9922"
"24.04.2019 10:30 - 24.04.2019 10:45","10814","10060"
"24.04.2019 10:45 - 24.04.2019 11:00","10812","9965"
"24.04.2019 11:00 - 24.04.2019 11:15","10866","9805"
"24.04.2019 11:15 - 24.04.2019 11:30","10861","9767"
"24.04.2019 11:30 - 24.04.2019 11:45","10907","9738"
"24.04.2019 11:45 - 24.04.2019 12:00","10908","9706"
"24.04.2019 12:00 - 24.04.2019 12:15","10839","9399"
"24.04.2019 12:15 - 24.04.2019 12:30","10709","9374"
"24.04.2019 12:30 - 24.04.2019 12:45","10659","9462"
"24.04.2019 12:45 - 24.04.2019 13:00","10626","9637"
"24.04.2019 13:00 - 24.04.2019 13:15","10734","9693"
"24.04.2019 13:15 - 24.04.2019 13:30","10690","9526"
"24.04.2019 13:30 - 24.04.2019 13:45","10637","9420"
"24.04.2019 13:45 - 24.04.2019 14:00","10550","9323"
"24.04.2019 14:00 - 24.04.2019 14:15","10520","9402"
"24.04.2019 14:15 - 24.04.2019 14:30","10532","9565"
"24.04.2019 14:30 - 24.04.2019 14:45","10531","9593"
"24.04.2019 14:45 - 24.04.2019 15:00","10502","9658"
"24.04.2019 15:00 - 24.04.2019 15:15","10479","9693"
"24.04.2019 15:15 - 24.04.2019 15:30","10447","9685"
"24.04.2019 15:30 - 24.04.2019 15:45","10407","9635"
"24.04.2019 15:45 - 24.04.2019 16:00","10349","9632"
"24.04.2019 16:00 - 24.04.2019 16:15","10350","9766"
"24.04.2019 16:15 - 24.04.2019 16:30","10320","9510"
"24.04.2019 16:30 - 24.04.2019 16:45","10324","9633"
"24.04.2019 16:45 - 24.04.2019 17:00","10353","9829"
"24.04.2019 17:00 - 24.04.2019 17:15","10335","10108"
"24.04.2019 17:15 - 24.04.2019 17:30","10352","10113"
"24.04.2019 17:30 - 24.04.2019 17:45","10421","10297"
"24.04.2019 17:45 - 24.04.2019 18:00","10475","10482"
"24.04.2019 18:00 - 24.04.2019 18:15","10406","10119"
"24.04.2019 18:15 - 24.04.2019 18:30","10375","9811"
"24.04.2019 18:30 - 24.04.2019 18:45","10389","9931"
"24.04.2019 18:45 - 24.04.2019 19:00","10379","9975"
"24.04.2019 19:00 - 24.04.2019 19:15","10234","10155"
"24.04.2019 19:15 - 24.04.2019 19:30","10186","10268"
"24.04.2019 19:30 - 24.04.2019 19:45","10148","9933"
"24.04.2019 19:45 - 24.04.2019 20:00","10134","9955"
"24.04.2019 20:00 - 24.04.2019 20:15","10101","9845"
"24.04.2019 20:15 - 24.04.2019 20:30","10074","9769"
"24.04.2019 20:30 - 24.04.2019 20:45","10142","9707"
"24.04.2019 20:45 - 24.04.2019 21:00","10168","9747"
"24.04.2019 21:00 - 24.04.2019 21:15","10284","9829"
"24.04.2019 21:15 - 24.04.2019 21:30","10213","9611"
"24.04.2019 21:30 - 24.04.2019 21:45","10107","9401"
"24.04.2019 21:45 - 24.04.2019 22:00","9946","9281"
"24.04.2019 22:00 - 24.04.2019 22:15","10061","9317"
"24.04.2019 22:15 - 24.04.2019 22:30","10134","9392"
"24.04.2019 22:30 - 24.04.2019 22:45","10090","9346"
"24.04.2019 22:45 - 24.04.2019 23:00","9962","9153"
"24.04.2019 23:00 - 24.04.2019 23:15","9912","9069"
"24.04.2019 23:15 - 24.04.2019 23:30","9805","8931"
"24.04.2019 23:30 - 24.04.2019 23:45","9659","8649"
"24.04.2019 23:45 - 25.04.2019 00:00","9497","8407"
"25.04.2019 00:00 - 25.04.2019 00:15","8987","8140"
"25.04.2019 00:15 - 25.04.2019 00:30","8828","8200"
"25.04.2019 00:30 - 25.04.2019 00:45","8705","8308"
"25.04.2019 00:45 - 25.04.2019 01:00","8550","7920"
"25.04.2019 01:00 - 25.04.2019 01:15","8457","7852"
"25.04.2019 01:15 - 25.04.2019 01:30","8342","7960"
"25.04.2019 01:30 - 25.04.2019 01:45","8231","7803"
"25.04.2019 01:45 - 25.04.2019 02:00","8142","7603"
"25.04.2019 02:00 - 25.04.2019 02:15","7968","7575"
"25.04.2019 02:15 - 25.04.2019 02:30","7910","7658"
"25.04.2019 02:30 - 25.04.2019 02:45","7861","7683"
"25.04.2019 02:45 - 25.04.2019 03:00","7833","7587"
"25.04.2019 03:00 - 25.04.2019 03:15","7852","7517"
"25.04.2019 03:15 - 25.04.2019 03:30","7807","7235"
"25.04.2019 03:30 - 25.04.2019 03:45","7794","7168"
"25.04.2019 03:45 - 25.04.2019 04:00","7832","7435"
"25.04.2019 04:00 - 25.04.2019 04:15","7890","7527"
"25.04.2019 04:15 - 25.04.2019 04:30","7895","7499"
"25.04.2019 04:30 - 25.04.2019 04:45","7950","7305"
"25.04.2019 04:45 - 25.04.2019 05:00","8030","7388"
"25.04.2019 05:00 - 25.04.2019 05:15","8248","7511"
"25.04.2019 05:15 - 25.04.2019 05:30","8335","7546"
"25.04.2019 05:30 - 25.04.2019 05:45","8465","7743"
"25.04.2019 05:45 - 25.04.2019 06:00","8652","8145"
"25.04.2019 06:00 - 25.04.2019 06:15","8972","8335"
"25.04.2019 06:15 - 25.04.2019 06:30","9167","8387"
"25.04.2019 06:30 - 25.04.2019 06:45","9338","8389"
"25.04.2019 06:45 - 25.04.2019 07:00","9502","8855"
"25.04.2019 07:00 - 25.04.2019 07:15","9631","9194"
"25.04.2019 07:15 - 25.04.2019 07:30","9766","9296"
"25.04.2019 07:30 - 25.04.2019 07:45","9928","9370"
"25.04.2019 07:45 - 25.04.2019 08:00","10045","9580"
"25.04.2019 08:00 - 25.04.2019 08:15","10112","9737"
"25.04.2019 08:15 - 25.04.2019 08:30","10220","9771"
"25.04.2019 08:30 - 25.04.2019 08:45","10317","9982"
"25.04.2019 08:45 - 25.04.2019 09:00","10401","10063"
"25.04.2019 09:00 - 25.04.2019 09:15","10341","10097"
"25.04.2019 09:15 - 25.04.2019 09:30","10370","10143"
"25.04.2019 09:30 - 25.04.2019 09:45","10417","10148"
"25.04.2019 09:45 - 25.04.2019 10:00","10415","10152"
"25.04.2019 10:00 - 25.04.2019 10:15","10367","10119"
"25.04.2019 10:15 - 25.04.2019 10:30","10334","10084"
"25.04.2019 10:30 - 25.04.2019 10:45","10332","9969"
"25.04.2019 10:45 - 25.04.2019 11:00","10333","9777"
"25.04.2019 11:00 - 25.04.2019 11:15","10333","9916"
"25.04.2019 11:15 - 25.04.2019 11:30","10322","9840"
"25.04.2019 11:30 - 25.04.2019 11:45","10365","9920"
"25.04.2019 11:45 - 25.04.2019 12:00","10369","10317"
"25.04.2019 12:00 - 25.04.2019 12:15","10280","10119"
"25.04.2019 12:15 - 25.04.2019 12:30","10158","9917"
"25.04.2019 12:30 - 25.04.2019 12:45","10108","10024"
"25.04.2019 12:45 - 25.04.2019 13:00","10093","9893"
"25.04.2019 13:00 - 25.04.2019 13:15","10143","10214"
"25.04.2019 13:15 - 25.04.2019 13:30","10093","10272"
"25.04.2019 13:30 - 25.04.2019 13:45","10048","10108"
"25.04.2019 13:45 - 25.04.2019 14:00","9968","9968"
"25.04.2019 14:00 - 25.04.2019 14:15","9851","10050"
"25.04.2019 14:15 - 25.04.2019 14:30","9853","10413"
"25.04.2019 14:30 - 25.04.2019 14:45","9846","10344"
"25.04.2019 14:45 - 25.04.2019 15:00","9814","10324"
"25.04.2019 15:00 - 25.04.2019 15:15","9792","10185"
"25.04.2019 15:15 - 25.04.2019 15:30","9769","10378"
"25.04.2019 15:30 - 25.04.2019 15:45","9738","10300"
"25.04.2019 15:45 - 25.04.2019 16:00","9688","10156"
"25.04.2019 16:00 - 25.04.2019 16:15","9753","10292"
"25.04.2019 16:15 - 25.04.2019 16:30","9720","10228"
"25.04.2019 16:30 - 25.04.2019 16:45","9731","10314"
"25.04.2019 16:45 - 25.04.2019 17:00","9753","10181"
"25.04.2019 17:00 - 25.04.2019 17:15","9846","10057"
"25.04.2019 17:15 - 25.04.2019 17:30","9861","10176"
